cell_type	subclass	class	family
Astros_1	Astrocyte	Astrocyte	Non-neuron
Astros_2	Astrocyte	Astrocyte	Non-neuron
Astros_3	Astrocyte	Astrocyte	Non-neuron
Endo	Endothelial	Vascular	Non-neuron
Ex_1_L5_6	L5/6 NP	deep layer non-IT	Glutamatergic
Ex_10_L2_4	L2/3-6 IT	L2/3-6 IT	Glutamatergic
Ex_2_L5	L5 ET	deep layer non-IT	Glutamatergic
Ex_3_L4_5	L2/3-6 IT	L2/3-6 IT	Glutamatergic
Ex_4_L_6	L6 CT	deep layer non-IT	Glutamatergic
Ex_5_L5	L5 ET	deep layer non-IT	Glutamatergic
Ex_6_L4_6	L2/3-6 IT	L2/3-6 IT	Glutamatergic
Ex_7_L4_6	L2/3-6 IT	L2/3-6 IT	Glutamatergic
Ex_8_L5_6	L5/6 NP	deep layer non-IT	Glutamatergic
Ex_9_L5_6	L5/6 NP	deep layer non-IT	Glutamatergic
Inhib_1	GABAergic	GABAergic	GABAergic
Inhib_2_VIP	VIP	CGE	GABAergic
Inhib_3_SST	SST	MGE	GABAergic
Inhib_4_SST	SST	MGE	GABAergic
Inhib_5	GABAergic	GABAergic	GABAergic
Inhib_6_SST	SST	MGE	GABAergic
Inhib_7_PVALB	PVALB	MGE	GABAergic
Inhib_8_PVALB	PVALB	MGE	GABAergic
Micro/Macro	Microglia	Microglia	Non-neuron
Mix_1	unknown	unknown	unknown
Mix_2	unknown	unknown	unknown
Mix_3	unknown	unknown	unknown
Mix_4	unknown	unknown	unknown
Mix_5	unknown	unknown	unknown
Oligos_1	Oligodendrocyte	Oligodendrocyte lineage	Non-neuron
Oligos_2	Oligodendrocyte	Oligodendrocyte lineage	Non-neuron
Oligos_3	Oligodendrocyte	Oligodendrocyte lineage	Non-neuron
OPCs_1	Oligodendrocyte	Oligodendrocyte lineage	Non-neuron
OPCs_2	OPC	Oligodendrocyte lineage	Non-neuron
