SubType	subclass
In.5HT3aR_PLS3_SORCS3	VIP
In.5HT3aR_DISC1_CHSY3	VIP
In.5HT3aR_TAC3_RYR3	VIP
In.5HT3aR_VIP_ALCAM	VIP
In.5HT3aR_VIP_TAC3	VIP
In.5HT3aR_TAC3_TSHZ2	VIP
In.5HT3aR_VIP_DACH2	VIP
In.Basket_PVALB_CEMIP	PVALB
In.Basket_PVALB_MYBPC1	PVALB
In.Chandelier_PVALB	Chandelier
In.Rosehip_CA3	GABAergic
In.Rosehip_PMEPA1	GABAergic
In.SST_GALNT14	SST
In.SST_ADAMTS19	SST
In.SST_BRINP3	SST
In.SST_NPY	SST
Ex.L2_L3_SEMA3C_GNAL	L2/3-6 IT
Ex.L2_L3_NR4A2_HPSE2	L2/3-6 IT
Ex.L2_L3_TMEM233_THEMIS	L2/3-6 IT
Ex.L3_L5_LPL_GLIS3_SYT10	L2/3-6 IT
Ex.L3_L5_SCN4B_SV2C	L2/3-6 IT
Ex.L5_LRRK1_KLHL5	L5 ET
Ex.L5_LRRK1_COL21A1	L5 ET
Ex.L5_CLMN_VIPR2	L5 ET
Ex.L5_L6_GABRG1_SLC22A10	L5/6 NP
Ex.L5_L6_COL22A1_PCBP3	L5/6 NP
Ex.L5_L6_ADGRL4_ARHGAP15	L5/6 NP
Ex.L5b_PCP4_GRIK1	L5 ET
Ex.L5b_PCP4_SLC24A3	L5 ET
Ex.L5b_BCL11B_EYA4	L5 ET
Ex.L5b_BCL11B_THSD4	L5 ET
Ex.L6b_TRPM3_CNTNAP3	L6b
Ex.L6b_KCNK2_SULF1	L6b
Ex.L6b_NPFFR2_MDFIC	L6b
Ex.L6b_KCNK2_THSD7B	L6b
Astrocyte.PP	Astrocyte
Astrocyte.IL_VP	Astrocyte
Endo.Venous	Endothelial
Endo.Arterial	Endothelial
Fibroblast	Vascular
Microglia	Microglia
Mural.Pericyte	Pericyte
Mural.SMC	Vascular
Oligodendrocyte	Oligodendrocyte
OPC	OPC
T_Cell	Non-neuron
