task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	90/d89592	315118	runSetup	CACHED	0	2025-01-31 17:22:53.251	1m 4s	1m	-	-	-	-	-
2	06/331125	315119	getCensusAdata	CACHED	0	2025-01-31 17:22:53.276	7m 9s	7m 5s	-	-	-	-	-
3	98/9c70c1	315120	save_params_to_file	CACHED	0	2025-01-31 17:22:53.298	4.3s	2ms	-	-	-	-	-
26	6a/d496a6	315221	h5adConvertRefs (7)	CACHED	0	2025-01-31 17:34:52.715	1m 5s	1m	-	-	-	-	-
13	be/8806de	315210	h5adConvertRefs (1)	CACHED	0	2025-01-31 17:33:27.708	1m 5s	60s	-	-	-	-	-
34	2f/0ac7a2	315227	h5adConvertRefs (10)	CACHED	0	2025-01-31 17:35:07.873	1m 5s	1m	-	-	-	-	-
15	0b/2c0031	315212	h5adConvertRefs (2)	CACHED	0	2025-01-31 17:33:57.671	1m 5s	59.9s	-	-	-	-	-
23	ad/92b066	315223	h5adConvertRefs (6)	CACHED	0	2025-01-31 17:35:07.688	1m 5s	1m	-	-	-	-	-
19	8a/f15f06	315224	h5adConvertRefs (4)	CACHED	0	2025-01-31 17:35:07.767	1m 5s	1m	-	-	-	-	-
31	0c/658b54	315218	h5adConvertRefs (9)	CACHED	0	2025-01-31 17:34:32.745	1m 5s	1m	-	-	-	-	-
22	9e/16aead	315127	mapQuery (14)	CACHED	0	2025-01-31 17:23:58.437	34.3s	30.1s	-	-	-	-	-
21	c6/6d09af	315225	h5adConvertRefs (5)	CACHED	0	2025-01-31 17:35:07.802	1m 5s	1m	-	-	-	-	-
57	2c/164351	315139	mapQuery (44)	CACHED	0	2025-01-31 17:25:39.242	1m 3s	1m	-	-	-	-	-
17	aa/550496	315209	h5adConvertRefs (3)	CACHED	0	2025-01-31 17:33:27.678	1m 5s	1m	-	-	-	-	-
29	1b/50f19e	315211	h5adConvertRefs (8)	CACHED	0	2025-01-31 17:33:47.665	1m 5s	1m	-	-	-	-	-
45	e8/c9043b	315150	mapQuery (32)	CACHED	0	2025-01-31 17:26:42.829	49.8s	45s	-	-	-	-	-
9	b9/72ba41	315129	mapQuery (6)	CACHED	0	2025-01-31 17:23:58.542	1m 9s	1m 5s	-	-	-	-	-
10	15/1239c9	315138	mapQuery (7)	CACHED	0	2025-01-31 17:25:07.980	1m 5s	1m	-	-	-	-	-
6	72/363018	315148	mapQuery (4)	CACHED	0	2025-01-31 17:26:42.675	49.9s	45s	-	-	-	-	-
5	76/ecba89	315156	mapQuery (3)	CACHED	0	2025-01-31 17:27:17.646	45s	40.1s	-	-	-	-	-
12	da/7412bc	315149	mapQuery (9)	CACHED	0	2025-01-31 17:26:42.768	49.8s	45s	-	-	-	-	-
