query	reference	label	f1_score	macro_f1	micro_f1	weighted_f1	key	cutoff	query_tissue	ref_tissue
nagy	Dissection_Primary_visual_cortexV1	L6b	nan	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
nagy	Dissection_Primary_visual_cortexV1	L5/6 NP	0.0	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
nagy	Dissection_Primary_visual_cortexV1	VLMC	nan	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
nagy	Dissection_Primary_visual_cortexV1	L5 ET	0.0	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
nagy	Dissection_Primary_visual_cortexV1	L5 6 NP	nan	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
nagy	Dissection_Primary_visual_cortexV1	Chandelier	nan	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
nagy	Dissection_Primary_visual_cortexV1	L2/3-6 IT	0.77665544332211	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
nagy	Dissection_Primary_visual_cortexV1	PVALB	0.7804878048780488	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
nagy	Dissection_Primary_visual_cortexV1	Oligodendrocyte	0.7755102040816326	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
nagy	Dissection_Primary_visual_cortexV1	OPC	0.46153846153846156	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
nagy	Dissection_Primary_visual_cortexV1	Microglia	0.88	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
nagy	Dissection_Primary_visual_cortexV1	Glutamatergic	nan	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
nagy	Dissection_Primary_visual_cortexV1	GABAergic	0.9861111111111112	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
nagy	Dissection_Primary_visual_cortexV1	CGE	nan	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
nagy	Dissection_Primary_visual_cortexV1	SNCG	nan	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
nagy	Dissection_Primary_visual_cortexV1	VIP	0.8260869565217391	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
nagy	Dissection_Primary_visual_cortexV1	L6 CT	0.0	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
nagy	Dissection_Primary_visual_cortexV1	Endothelial	0.5714285714285714	0.36714622881590125		0.6969588412915653	subclass	0.0	dorsolateral prefrontal cortex	primary visual cortex
