query	reference	label	f1_score	macro_f1	micro_f1	weighted_f1	key	cutoff
pineda	Dissection_Angular_gyrus_AnG	PVALB	0.9841269841269841	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	Microglia	0.9791666666666666	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	OPC	1.0	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	GABAergic	1.0	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	Non-neuron	1.0	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	L5 ET	0.2222222222222222	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	VIP	0.7169811320754716	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	L5/6 NP	0.0	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	Astrocyte	1.0	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	VLMC	nan	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	Endothelial	1.0	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	Pericyte	0.0	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	L6 CT	nan	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	L5 6 NP	nan	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	LAMP5	nan	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	L6b	0.8636363636363636	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	Oligodendrocyte	0.9989235737351991	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	Chandelier	1.0	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	SNCG	nan	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	SST	0.9841269841269841	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	L2/3-6 IT	0.756578947368421	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	CGE	nan	0.5684437669981052		0.8890031825847169	rachel_subclass	0.0
pineda	Dissection_Angular_gyrus_AnG	Oligodendrocyte lineage	0.9990281827016521	0.8209283993843606		0.910660698301877	rachel_class	0.0
pineda	Dissection_Angular_gyrus_AnG	Microglia	0.9791666666666666	0.8209283993843606		0.910660698301877	rachel_class	0.0
pineda	Dissection_Angular_gyrus_AnG	GABAergic	1.0	0.8209283993843606		0.910660698301877	rachel_class	0.0
pineda	Dissection_Angular_gyrus_AnG	Non-neuron	1.0	0.8209283993843606		0.910660698301877	rachel_class	0.0
pineda	Dissection_Angular_gyrus_AnG	Astrocyte	1.0	0.8209283993843606		0.910660698301877	rachel_class	0.0
pineda	Dissection_Angular_gyrus_AnG	unknown	nan	0.8209283993843606		0.910660698301877	rachel_class	0.0
pineda	Dissection_Angular_gyrus_AnG	deep layer non-IT	0.4533333333333333	0.8209283993843606		0.910660698301877	rachel_class	0.0
pineda	Dissection_Angular_gyrus_AnG	L2/3-6 IT	0.756578947368421	0.8209283993843606		0.910660698301877	rachel_class	0.0
pineda	Dissection_Angular_gyrus_AnG	MGE	1.0	0.8209283993843606		0.910660698301877	rachel_class	0.0
pineda	Dissection_Angular_gyrus_AnG	CGE	1.0	0.8209283993843606		0.910660698301877	rachel_class	0.0
pineda	Dissection_Angular_gyrus_AnG	Vascular	0.8421052631578947	0.8209283993843606		0.910660698301877	rachel_class	0.0
pineda	Dissection_Angular_gyrus_AnG	Glutamatergic	0.9823788546255506	0.7455947136563876		0.9959295154185022	rachel_family	0.0
pineda	Dissection_Angular_gyrus_AnG	unknown	nan	0.7455947136563876		0.9959295154185022	rachel_family	0.0
pineda	Dissection_Angular_gyrus_AnG	Non-neuron	1.0	0.7455947136563876		0.9959295154185022	rachel_family	0.0
pineda	Dissection_Angular_gyrus_AnG	GABAergic	1.0	0.7455947136563876		0.9959295154185022	rachel_family	0.0
