ref	query	key	label	auc	optimal threshold
primary_visual_cortex	pineda	rachel_subclass	Astrocyte	1.0	0.47
primary_visual_cortex	pineda	rachel_subclass	Chandelier	1.0	0.88
primary_visual_cortex	pineda	rachel_subclass	Endothelial	1.0	0.76
primary_visual_cortex	pineda	rachel_subclass	L2/3-6 IT	0.9686091761171479	0.18
primary_visual_cortex	pineda	rachel_subclass	L5 ET	0.7834348516949153	0.01
primary_visual_cortex	pineda	rachel_subclass	L5/6 NP	0.7195665003487312	0.01
primary_visual_cortex	pineda	rachel_subclass	L6b	0.9826051282051282	0.07
primary_visual_cortex	pineda	rachel_subclass	Microglia	0.9987767977853602	0.14
primary_visual_cortex	pineda	rachel_subclass	OPC	1.0	0.84
primary_visual_cortex	pineda	rachel_subclass	Oligodendrocyte	1.0	0.31
primary_visual_cortex	pineda	rachel_subclass	PVALB	0.9999500649156097	0.12
primary_visual_cortex	pineda	rachel_subclass	Pericyte	0.9334334334334333	0.01
primary_visual_cortex	pineda	rachel_subclass	SST	0.9999031508264462	0.33
primary_visual_cortex	pineda	rachel_subclass	VIP	0.9520917062477166	0.04
