ref	query	key	label	auc	optimal threshold
Whole_Taxonomy_-_MTG_Seattle_Alzheimers_Disease_Atlas_SEA-AD	velmeshev	rachel_subclass	Astrocyte	0.9988235294117648	0.14
Whole_Taxonomy_-_MTG_Seattle_Alzheimers_Disease_Atlas_SEA-AD	velmeshev	rachel_subclass	Endothelial	0.9923469387755102	0.11
Whole_Taxonomy_-_MTG_Seattle_Alzheimers_Disease_Atlas_SEA-AD	velmeshev	rachel_subclass	L2/3-6 IT	0.8586829836829837	0.12
Whole_Taxonomy_-_MTG_Seattle_Alzheimers_Disease_Atlas_SEA-AD	velmeshev	rachel_subclass	L5/6 NP	0.9518900343642611	0.02
Whole_Taxonomy_-_MTG_Seattle_Alzheimers_Disease_Atlas_SEA-AD	velmeshev	rachel_subclass	LAMP5	1.0	0.61
Whole_Taxonomy_-_MTG_Seattle_Alzheimers_Disease_Atlas_SEA-AD	velmeshev	rachel_subclass	Microglia	0.9914089347079037	0.17
Whole_Taxonomy_-_MTG_Seattle_Alzheimers_Disease_Atlas_SEA-AD	velmeshev	rachel_subclass	OPC	1.0	0.24
Whole_Taxonomy_-_MTG_Seattle_Alzheimers_Disease_Atlas_SEA-AD	velmeshev	rachel_subclass	Oligodendrocyte	0.9928498467824312	0.16
Whole_Taxonomy_-_MTG_Seattle_Alzheimers_Disease_Atlas_SEA-AD	velmeshev	rachel_subclass	PVALB	0.9946808510638299	0.22
Whole_Taxonomy_-_MTG_Seattle_Alzheimers_Disease_Atlas_SEA-AD	velmeshev	rachel_subclass	SST	0.9989473684210526	0.14
Whole_Taxonomy_-_MTG_Seattle_Alzheimers_Disease_Atlas_SEA-AD	velmeshev	rachel_subclass	VIP	0.9817708333333334	0.11
