ref	query	key	label	auc	optimal threshold
Dissection_Angular_gyrus_AnG	velmeshev_ACC	rachel_subclass	Astrocyte	1.0	0.28
Dissection_Angular_gyrus_AnG	velmeshev_ACC	rachel_subclass	Endothelial	0.9973404255319148	0.17
Dissection_Angular_gyrus_AnG	velmeshev_ACC	rachel_subclass	L2/3-6 IT	0.8008504606661941	0.17
Dissection_Angular_gyrus_AnG	velmeshev_ACC	rachel_subclass	L5/6 NP	0.9947916666666666	0.05
Dissection_Angular_gyrus_AnG	velmeshev_ACC	rachel_subclass	Microglia	1.0	0.42
Dissection_Angular_gyrus_AnG	velmeshev_ACC	rachel_subclass	OPC	1.0	0.22
Dissection_Angular_gyrus_AnG	velmeshev_ACC	rachel_subclass	Oligodendrocyte	0.998467824310521	0.16
Dissection_Angular_gyrus_AnG	velmeshev_ACC	rachel_subclass	PVALB	0.9921875	0.08
Dissection_Angular_gyrus_AnG	velmeshev_ACC	rachel_subclass	SST	0.9895833333333334	0.16
Dissection_Angular_gyrus_AnG	velmeshev_ACC	rachel_subclass	VIP	0.8886328725038402	0.14
