ref	query	key	label	auc	optimal threshold
Dissection_Primary_somatosensory_cortex_S1	velmeshev_ACC	rachel_subclass	Astrocyte	1.0	0.35
Dissection_Primary_somatosensory_cortex_S1	velmeshev_ACC	rachel_subclass	Endothelial	0.9388020833333334	0.34
Dissection_Primary_somatosensory_cortex_S1	velmeshev_ACC	rachel_subclass	L2/3-6 IT	0.8090666666666667	0.12
Dissection_Primary_somatosensory_cortex_S1	velmeshev_ACC	rachel_subclass	L5/6 NP	1.0	0.67
Dissection_Primary_somatosensory_cortex_S1	velmeshev_ACC	rachel_subclass	LAMP5	1.0	0.36
Dissection_Primary_somatosensory_cortex_S1	velmeshev_ACC	rachel_subclass	Microglia	1.0	0.23
Dissection_Primary_somatosensory_cortex_S1	velmeshev_ACC	rachel_subclass	OPC	1.0	0.22
Dissection_Primary_somatosensory_cortex_S1	velmeshev_ACC	rachel_subclass	Oligodendrocyte	1.0	0.25
Dissection_Primary_somatosensory_cortex_S1	velmeshev_ACC	rachel_subclass	PVALB	0.9999999999999999	0.27
Dissection_Primary_somatosensory_cortex_S1	velmeshev_ACC	rachel_subclass	SST	1.0	0.4
Dissection_Primary_somatosensory_cortex_S1	velmeshev_ACC	rachel_subclass	VIP	0.695084485407066	0.27
