ref	query	key	label	auc	optimal threshold
Dissection_Primary_somatosensory_cortex_S1	velmeshev_PFC	rachel_subclass	Astrocyte	1.0	0.22
Dissection_Primary_somatosensory_cortex_S1	velmeshev_PFC	rachel_subclass	Endothelial	1.0	0.22
Dissection_Primary_somatosensory_cortex_S1	velmeshev_PFC	rachel_subclass	L2/3-6 IT	0.8735999999999999	0.11
Dissection_Primary_somatosensory_cortex_S1	velmeshev_PFC	rachel_subclass	L5/6 NP	0.31313131313131315	0.0
Dissection_Primary_somatosensory_cortex_S1	velmeshev_PFC	rachel_subclass	LAMP5	1.0	0.4
Dissection_Primary_somatosensory_cortex_S1	velmeshev_PFC	rachel_subclass	Microglia	1.0	0.34
Dissection_Primary_somatosensory_cortex_S1	velmeshev_PFC	rachel_subclass	OPC	1.0	0.11
Dissection_Primary_somatosensory_cortex_S1	velmeshev_PFC	rachel_subclass	Oligodendrocyte	0.9985795454545454	0.24
Dissection_Primary_somatosensory_cortex_S1	velmeshev_PFC	rachel_subclass	PVALB	0.8838383838383839	0.06
Dissection_Primary_somatosensory_cortex_S1	velmeshev_PFC	rachel_subclass	SST	0.97265625	0.15
Dissection_Primary_somatosensory_cortex_S1	velmeshev_PFC	rachel_subclass	VIP	0.9148936170212766	0.2
