query	reference	label	f1_score	macro_f1	micro_f1	weighted_f1	key	cutoff
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	L6b	nan	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	Microglia	1.0	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	Non-neuron	nan	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	VIP	0.5	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	VLMC	nan	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	SNCG	nan	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	Endothelial	0.0	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	PVALB	0.6	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	OPC	1.0	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	L6 CT	nan	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	L5/6 NP	0.5	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	L2/3-6 IT	0.7027027027027027	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	Oligodendrocyte	0.8695652173913043	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	GABAergic	nan	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	Chandelier	nan	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	Astrocyte	0.9655172413793104	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	CGE	nan	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	SST	0.7272727272727273	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	LAMP5	1.0	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	Glutamatergic	0.6923076923076923	0.4278682790526869		0.7701302987704787	rachel_subclass	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	Microglia	1.0	0.6591257008048612		0.82766521313148	rachel_class	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	Non-neuron	nan	0.6591257008048612		0.82766521313148	rachel_class	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	L2/3-6 IT	0.7027027027027027	0.6591257008048612		0.82766521313148	rachel_class	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	MGE	0.9565217391304348	0.6591257008048612		0.82766521313148	rachel_class	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	deep layer non-IT	0.5	0.6591257008048612		0.82766521313148	rachel_class	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	GABAergic	nan	0.6591257008048612		0.82766521313148	rachel_class	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	Oligodendrocyte lineage	0.9333333333333333	0.6591257008048612		0.82766521313148	rachel_class	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	Astrocyte	0.9655172413793104	0.6591257008048612		0.82766521313148	rachel_class	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	CGE	0.8333333333333334	0.6591257008048612		0.82766521313148	rachel_class	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	Vascular	0.6666666666666666	0.6591257008048612		0.82766521313148	rachel_class	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	Glutamatergic	0.6923076923076923	0.6591257008048612		0.82766521313148	rachel_class	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	Non-neuron	0.8913043478260869	0.8483005356857163		0.8439938100991377	rachel_family	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	GABAergic	0.8648648648648649	0.8483005356857163		0.8439938100991377	rachel_family	0.0
velmeshev	Dissection_Anterior_cingulate_cortex_ACC	Glutamatergic	0.7887323943661971	0.8483005356857163		0.8439938100991377	rachel_family	0.0
