ref	query	key	label	auc	optimal threshold
primary_visual_cortex	nagy	rachel_subclass	Astrocyte	0.873059866962306	0.24
primary_visual_cortex	nagy	rachel_subclass	Endothelial	0.09239130434782611	0.0
primary_visual_cortex	nagy	rachel_subclass	L2/3-6 IT	0.862298195631529	0.2
primary_visual_cortex	nagy	rachel_subclass	L5 ET	0.7810421286031042	0.03
primary_visual_cortex	nagy	rachel_subclass	L5/6 NP	0.43956043956043955	0.02
primary_visual_cortex	nagy	rachel_subclass	Microglia	1.0	0.28
primary_visual_cortex	nagy	rachel_subclass	Oligodendrocyte	0.9906655844155843	0.1
primary_visual_cortex	nagy	rachel_subclass	PVALB	0.9565217391304347	0.12
primary_visual_cortex	nagy	rachel_subclass	SST	0.75	0.04
primary_visual_cortex	nagy	rachel_subclass	VIP	0.9777777777777779	0.13
