ref	query	key	label	auc	optimal threshold
whole_cortex	nagy	rachel_subclass	Astrocyte	0.9251662971175166	0.18
whole_cortex	nagy	rachel_subclass	Endothelial	0.47282608695652173	0.03
whole_cortex	nagy	rachel_subclass	L2/3-6 IT	0.941358024691358	0.18
whole_cortex	nagy	rachel_subclass	L5 ET	0.9307095343680709	0.08
whole_cortex	nagy	rachel_subclass	L5/6 NP	0.7692307692307692	0.01
whole_cortex	nagy	rachel_subclass	Microglia	0.9999999999999999	0.36
whole_cortex	nagy	rachel_subclass	Oligodendrocyte	0.9987824675324675	0.12
whole_cortex	nagy	rachel_subclass	PVALB	0.8641304347826086	0.04
whole_cortex	nagy	rachel_subclass	SST	0.6685185185185184	0.05
whole_cortex	nagy	rachel_subclass	VIP	0.9666666666666667	0.1
