ref	query	key	label	auc	optimal threshold
whole_cortex	pineda	rachel_subclass	Astrocyte	1.0	0.32
whole_cortex	pineda	rachel_subclass	Chandelier	1.0	0.73
whole_cortex	pineda	rachel_subclass	Endothelial	1.0	0.42
whole_cortex	pineda	rachel_subclass	L2/3-6 IT	0.9987789987789988	0.2
whole_cortex	pineda	rachel_subclass	L5 ET	0.9136842105263159	0.02
whole_cortex	pineda	rachel_subclass	L5/6 NP	0.6607142857142858	0.05
whole_cortex	pineda	rachel_subclass	L6b	0.9438775510204082	0.09
whole_cortex	pineda	rachel_subclass	Microglia	1.0	0.41
whole_cortex	pineda	rachel_subclass	OPC	1.0	0.63
whole_cortex	pineda	rachel_subclass	Oligodendrocyte	1.0	0.34
whole_cortex	pineda	rachel_subclass	PVALB	1.0	0.15
whole_cortex	pineda	rachel_subclass	SST	1.0	0.39
whole_cortex	pineda	rachel_subclass	VIP	0.9194139194139195	0.28
