ref	query	key	label	auc	optimal threshold
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	Astrocyte	0.9980392156862745	0.17
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	Endothelial	1.0	0.22
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	L2/3-6 IT	0.8184731934731935	0.15
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	L5/6 NP	0.7285223367697595	0.01
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	LAMP5	1.0	0.36
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	Microglia	1.0	0.19
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	OPC	1.0	0.23
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	Oligodendrocyte	0.9979570990806945	0.2
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	PVALB	0.9840425531914894	0.14
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	SST	0.9873684210526316	0.12
Dissection_Anterior_cingulate_cortex_ACC	velmeshev	rachel_subclass	VIP	0.921875	0.09
