query	reference	label	f1_score	macro_f1	micro_f1	weighted_f1	key	cutoff
lau	angular_gyrus	VLMC	nan	0.5072779072779073		0.8555571095571096	rachel_subclass	0.0
lau	angular_gyrus	Astrocyte	1.0	0.5072779072779073		0.8555571095571096	rachel_subclass	0.0
lau	angular_gyrus	Non-neuron	nan	0.5072779072779073		0.8555571095571096	rachel_subclass	0.0
lau	angular_gyrus	Endothelial	0.0	0.5072779072779073		0.8555571095571096	rachel_subclass	0.0
lau	angular_gyrus	GABAergic	0.9230769230769231	0.5072779072779073		0.8555571095571096	rachel_subclass	0.0
lau	angular_gyrus	Microglia	0.9090909090909091	0.5072779072779073		0.8555571095571096	rachel_subclass	0.0
lau	angular_gyrus	Oligodendrocyte	0.9583333333333334	0.5072779072779073		0.8555571095571096	rachel_subclass	0.0
lau	angular_gyrus	unknown	nan	0.5072779072779073		0.8555571095571096	rachel_subclass	0.0
lau	angular_gyrus	Glutamatergic	0.775	0.5072779072779073		0.8555571095571096	rachel_subclass	0.0
lau	angular_gyrus	Astrocyte	1.0	0.654020979020979		0.8622237762237762	rachel_class	0.0
lau	angular_gyrus	Non-neuron	nan	0.654020979020979		0.8622237762237762	rachel_class	0.0
lau	angular_gyrus	Oligodendrocyte lineage	0.9583333333333334	0.654020979020979		0.8622237762237762	rachel_class	0.0
lau	angular_gyrus	Vascular	0.6666666666666666	0.654020979020979		0.8622237762237762	rachel_class	0.0
lau	angular_gyrus	GABAergic	0.9230769230769231	0.654020979020979		0.8622237762237762	rachel_class	0.0
lau	angular_gyrus	Microglia	0.9090909090909091	0.654020979020979		0.8622237762237762	rachel_class	0.0
lau	angular_gyrus	unknown	nan	0.654020979020979		0.8622237762237762	rachel_class	0.0
lau	angular_gyrus	Glutamatergic	0.775	0.654020979020979		0.8622237762237762	rachel_class	0.0
lau	angular_gyrus	unknown	nan	0.6411858974358975		0.8285192307692308	rachel_family	0.0
lau	angular_gyrus	Non-neuron	0.8666666666666667	0.6411858974358975		0.8285192307692308	rachel_family	0.0
lau	angular_gyrus	Glutamatergic	0.775	0.6411858974358975		0.8285192307692308	rachel_family	0.0
lau	angular_gyrus	GABAergic	0.9230769230769231	0.6411858974358975		0.8285192307692308	rachel_family	0.0
