ref	query	key	label	auc	optimal threshold
whole_cortex	pineda	rachel_subclass	VIP	0.8766788766788767	0.0770013806057808
whole_cortex	pineda	rachel_subclass	SST	1.0	0.346552996599463
whole_cortex	pineda	rachel_subclass	Astrocyte	1.0	0.489545864202025
whole_cortex	pineda	rachel_subclass	Microglia	1.0	0.638549941687718
whole_cortex	pineda	rachel_subclass	L6b	1.0	0.352852553013761
whole_cortex	pineda	rachel_subclass	L5 ET	0.9494736842105262	0.0987976323075866
whole_cortex	pineda	rachel_subclass	Oligodendrocyte	1.0	0.35586489956904
whole_cortex	pineda	rachel_subclass	L2/3-6 IT	0.9816849816849816	0.168149080758603
whole_cortex	pineda	rachel_subclass	OPC	1.0	0.646630988684041
whole_cortex	pineda	rachel_subclass	Chandelier	1.0	0.481728427394793
whole_cortex	pineda	rachel_subclass	PVALB	1.0	0.377752959880127
whole_cortex	pineda	rachel_subclass	Endothelial	1.0	0.546577689411353
