ref	query	key	label	auc	optimal threshold
primary_motor_cortex	velmeshev_PFC	rachel_subclass	LAMP5	1.0	0.43289694030619
primary_motor_cortex	velmeshev_PFC	rachel_subclass	Endothelial	1.0	0.616526708129495
primary_motor_cortex	velmeshev_PFC	rachel_subclass	Oligodendrocyte	1.0	0.147477510054538
primary_motor_cortex	velmeshev_PFC	rachel_subclass	L2/3-6 IT	0.9552	0.0466903587454883
primary_motor_cortex	velmeshev_PFC	rachel_subclass	Microglia	0.9947916666666666	0.55234997811291
primary_motor_cortex	velmeshev_PFC	rachel_subclass	OPC	0.9992156862745099	0.481497307343636
primary_motor_cortex	velmeshev_PFC	rachel_subclass	PVALB	0.98989898989899	0.385794466608742
primary_motor_cortex	velmeshev_PFC	rachel_subclass	Astrocyte	1.0	0.623473714834244
primary_motor_cortex	velmeshev_PFC	rachel_subclass	VIP	0.9964539007092199	0.277438039178271
primary_motor_cortex	velmeshev_PFC	rachel_subclass	SST	0.9739583333333333	0.0840390963059666
