ref	query	key	label	auc	optimal threshold
middle_temporal_gyrus	pineda	rachel_subclass	PVALB	1.0	0.443070029813008
middle_temporal_gyrus	pineda	rachel_subclass	L6b	0.9965635738831615	0.162127895011357
middle_temporal_gyrus	pineda	rachel_subclass	VIP	0.9965635738831615	0.190016944830686
middle_temporal_gyrus	pineda	rachel_subclass	SST	1.0	0.27071586369661
middle_temporal_gyrus	pineda	rachel_subclass	Oligodendrocyte	1.0	0.240389961902436
middle_temporal_gyrus	pineda	rachel_subclass	Chandelier	1.0	0.446544050514752
middle_temporal_gyrus	pineda	rachel_subclass	L2/3-6 IT	0.9558154645873944	0.0843140840210045
middle_temporal_gyrus	pineda	rachel_subclass	OPC	1.0	0.473337335867265
middle_temporal_gyrus	pineda	rachel_subclass	L5 ET	0.8294736842105264	0.0520878586534258
middle_temporal_gyrus	pineda	rachel_subclass	Astrocyte	1.0	0.442993770433868
middle_temporal_gyrus	pineda	rachel_subclass	Microglia	0.9898989898989898	0.440479844212467
